index,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
1,universite,hayir,calismiyor,universite,emekli,calismiyor,1
2,universite,evet,kamu,Null,emekli,calismiyor,1
3,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,6
4,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,10
5,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1
6,egitimi yok,hayir,calismiyor,Null,evet,kamu,3
7,universite,hayir,calismiyor,Null,Null,Null,Null
8,lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
9,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
10,universite,evet,kamu,Null,evet,kamu,1
11,lise,hayir,calismiyor,lise,emekli,calismiyor,2
12,lise,hayir,calismiyor,universite,evet,diger,2
13,universite,evet,kamu,universite,evet,kamu,1
14,lise,hayir,calismiyor,universite,emekli,calismiyor,4
15,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10
16,universite,emekli,calismiyor,Null,evet,kamu,1
17,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
18,universite,evet,kamu,universite,evet,kamu,1
19,ortaokul,hayir,calismiyor,universite,evet,kamu,1
20,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
21,lise,hayir,calismiyor,lise,evet,diger,5
22,lise,hayir,calismiyor,lise,evet,kamu,2
23,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
24,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
25,universite,emekli,calismiyor,universite,evet,ozel sektor,1
26,lise,evet,ozel sektor,Null,Null,Null,Null
27,Null,evet,kamu,Null,evet,kamu,0
28,universite,evet,kamu,universite,evet,kamu,1
29,lise,emekli,calismiyor,lise,evet,diger,1
30,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2
31,ilkokul,hayir,calismiyor,universite,evet,kamu,1
32,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
33,lise,hayir,calismiyor,lise,emekli,calismiyor,4
34,lise,hayir,calismiyor,lise,emekli,calismiyor,0
35,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
36,universite,emekli,calismiyor,universite,evet,ozel sektor,0
37,ilkokul,evet,diger,ilkokul,emekli,calismiyor,1
38,universite,evet,kamu,universite,evet,kamu,1
39,lise,evet,ozel sektor,lise,emekli,calismiyor,2
40,ortaokul,evet,ozel sektor,ilkokul,evet,kamu,1
41,lise,emekli,calismiyor,lise,evet,ozel sektor,0
42,lise,emekli,calismiyor,universite,emekli,calismiyor,1
43,lise,evet,ozel sektor,universite,evet,ozel sektor,0
44,lise,hayir,calismiyor,universite,evet,ozel sektor,1
45,lise,hayir,calismiyor,universite,evet,kamu,2
46,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,7
47,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
48,lise,hayir,calismiyor,lise,evet,ozel sektor,1
49,Null,evet,ozel sektor,Null,evet,ozel sektor,0
50,lise,hayir,calismiyor,universite,evet,ozel sektor,1
51,universite,emekli,calismiyor,universite,evet,ozel sektor,1
52,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1
53,lise,evet,ozel sektor,Null,Null,Null,Null
54,universite,evet,kamu,universite,evet,kamu,1
55,ilkokul,hayir,calismiyor,Null,Null,Null,Null
56,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
57,universite,evet,kamu,Null,evet,kamu,1
58,lise,hayir,calismiyor,lise,evet,kamu,3
59,lise,evet,ozel sektor,Null,Null,Null,Null
60,ortaokul,hayir,calismiyor,Null,Null,Null,Null
61,ortaokul,hayir,calismiyor,Null,Null,Null,Null
62,ilkokul,emekli,calismiyor,ilkokul,evet,diger,2
63,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,3
64,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
65,universite,evet,ozel sektor,universite,evet,diger,0
66,lise,evet,ozel sektor,universite,evet,ozel sektor,2
67,universite,evet,ozel sektor,universite,evet,ozel sektor,1
68,lise,emekli,calismiyor,universite,emekli,calismiyor,0
69,universite,emekli,calismiyor,universite,evet,ozel sektor,Null
70,lise,evet,ozel sektor,lise,evet,ozel sektor,1
71,lise,hayir,calismiyor,lise,emekli,calismiyor,3
72,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
73,universite,evet,kamu,universite,emekli,calismiyor,1
74,lise,emekli,calismiyor,lise,emekli,calismiyor,2
75,universite,emekli,calismiyor,lise,evet,ozel sektor,1
76,universite,evet,kamu,universite,evet,kamu,1
77,lise,emekli,calismiyor,ilkokul,evet,ozel sektor,1
78,universite,evet,kamu,universite,evet,ozel sektor,1
79,universite,evet,kamu,universite,hayir,diger,1
80,lise,emekli,calismiyor,lise,hayir,calismiyor,2
81,lise,emekli,calismiyor,lise,emekli,calismiyor,1
82,lise,hayir,calismiyor,lise,emekli,calismiyor,1
83,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
84,lise,evet,ozel sektor,lise,evet,kamu,1
85,universite,hayir,calismiyor,lise,emekli,calismiyor,4
86,ilkokul,hayir,calismiyor,ortaokul,Null,calismiyor,1
87,lise,emekli,calismiyor,Null,Null,Null,Null
88,Null,evet,kamu,Null,evet,diger,1
89,Null,evet,kamu,universite,emekli,calismiyor,1
90,universite,emekli,ozel sektor,universite,emekli,calismiyor,3
91,ortaokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4
92,lise,emekli,calismiyor,universite,evet,kamu,2
93,lise,evet,ozel sektor,Null,evet,kamu,1
94,universite,evet,kamu,Null,evet,kamu,0
95,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2
96,ilkokul,hayir,calismiyor,universite,evet,kamu,2
97,lise,hayir,calismiyor,Null,Null,Null,Null
98,ortaokul,hayir,calismiyor,lise,evet,diger,3
99,lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
100,lise,hayir,calismiyor,universite,emekli,calismiyor,2
101,lise,hayir,calismiyor,universite,evet,kamu,3
102,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
103,lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1
104,lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1
105,lise,hayir,calismiyor,lise,evet,kamu,1
106,ilkokul,hayir,calismiyor,ortaokul,evet,diger,2
107,ilkokul,hayir,calismiyor,ilkokul,evet,diger,4
108,lise,hayir,calismiyor,Null,Null,Null,Null
109,ortaokul,evet,ozel sektor,Null,Null,Null,Null
110,lise,hayir,calismiyor,universite,hayir,calismiyor,2
111,egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor,3
112,lise,hayir,calismiyor,lise,emekli,calismiyor,1
113,universite,evet,kamu,universite,evet,kamu,3
114,lise,hayir,calismiyor,universite,evet,kamu,Null
115,universite,hayir,calismiyor,universite,evet,ozel sektor,1
116,universite,evet,ozel sektor,universite,evet,kamu,1
117,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
118,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,1
119,ilkokul,evet,diger,lise,evet,diger,1
120,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
121,lise,hayir,calismiyor,lise,evet,kamu,3
122,egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3
123,ilkokul,hayir,calismiyor,Null,Null,Null,Null
124,universite,evet,kamu,universite,emekli,calismiyor,2
125,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,0
126,ortaokul,hayir,calismiyor,lise,evet,kamu,2
127,egitimi yok,hayir,calismiyor,Null,Null,Null,Null
128,universite,evet,kamu,universite,evet,kamu,1
129,lise,hayir,calismiyor,universite,emekli,calismiyor,2
130,lise,evet,ozel sektor,universite,emekli,ozel sektor,0
131,lise,hayir,calismiyor,universite,emekli,calismiyor,3
132,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
133,ilkokul,hayir,calismiyor,ortaokul,evet,diger,3
134,Null,emekli,calismiyor,Null,Null,Null,Null
135,egitimi yok,hayir,calismiyor,egitimi yok,evet,ozel sektor,5
136,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
137,lise,hayir,calismiyor,lise,emekli,calismiyor,1
138,universite,evet,ozel sektor,ortaokul,emekli,calismiyor,0
139,universite,emekli,calismiyor,Null,Null,Null,Null
140,lise,hayir,calismiyor,lise,emekli,calismiyor,3
141,ilkokul,hayir,calismiyor,universite,evet,diger,1
142,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
143,ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
144,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
145,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,Null
146,universite,emekli,calismiyor,Null,Null,Null,Null
147,lise,hayir,calismiyor,lise,evet,ozel sektor,1
148,lise,hayir,calismiyor,universite,evet,diger,1
149,lise,evet,diger,lise,evet,kamu,Null
150,lise,hayir,calismiyor,lise,evet,diger,2
151,lise,emekli,calismiyor,universite,emekli,calismiyor,0
152,universite,emekli,calismiyor,universite,emekli,calismiyor,1
153,lise,evet,diger,lise,evet,ozel sektor,4
154,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,2
155,Null,hayir,calismiyor,Null,evet,kamu,1
156,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,2
157,lise,hayir,calismiyor,universite,evet,diger,1
158,ilkokul,hayir,calismiyor,ilkokul,evet,diger,2
159,ilkokul,hayir,calismiyor,universite,evet,kamu,2
160,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
161,ilkokul,hayir,calismiyor,Null,Null,Null,Null
162,universite,evet,ozel sektor,lise,evet,ozel sektor,1
163,Null,evet,diger,Null,evet,diger,1
164,universite,emekli,calismiyor,Null,Null,Null,Null
165,ortaokul,emekli,calismiyor,universite,emekli,calismiyor,2
166,lise,hayir,calismiyor,egitimi yok,Null,calismiyor,1
167,lise,evet,ozel sektor,lise,emekli,calismiyor,1
168,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
169,lise,hayir,calismiyor,universite,evet,kamu,1
170,lise,evet,kamu,egitimi yok,emekli,calismiyor,1
171,universite,emekli,calismiyor,universite,evet,kamu,1
172,ilkokul,hayir,calismiyor,universite,evet,kamu,3
173,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,2
174,lise,evet,kamu,universite,hayir,calismiyor,0
175,ortaokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
176,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,1
177,universite,evet,kamu,universite,evet,ozel sektor,1
178,lise,evet,ozel sektor,lise,evet,ozel sektor,0
179,universite,evet,kamu,lise,evet,kamu,1
180,ortaokul,hayir,calismiyor,lise,evet,diger,1
181,universite,emekli,calismiyor,Null,Null,Null,Null
182,lise,emekli,calismiyor,Null,evet,diger,1
183,universite,emekli,calismiyor,egitimi yok,Null,calismiyor,0
184,lise,hayir,calismiyor,Null,Null,Null,Null
185,ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor,2
186,ilkokul,hayir,calismiyor,lise,evet,kamu,2
187,lise,hayir,calismiyor,lise,evet,diger,1
188,universite,evet,kamu,lise,emekli,calismiyor,1
189,ortaokul,evet,ozel sektor,lise,evet,kamu,1
190,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
191,lise,hayir,calismiyor,universite,evet,ozel sektor,1
192,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
193,ortaokul,hayir,calismiyor,ortaokul,hayir,calismiyor,3
194,ilkokul,hayir,calismiyor,lise,evet,kamu,1
195,ilkokul,evet,diger,lise,evet,ozel sektor,3
196,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,5
197,lise,hayir,calismiyor,universite,emekli,calismiyor,2
198,ilkokul,hayir,calismiyor,Null,Null,Null,Null
199,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,4
200,lise,emekli,calismiyor,universite,emekli,calismiyor,1
201,ilkokul,hayir,calismiyor,universite,evet,kamu,3
202,lise,hayir,calismiyor,ilkokul,evet,ozel sektor,1
203,lise,hayir,calismiyor,universite,evet,ozel sektor,1
204,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
205,egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,4
206,universite,hayir,calismiyor,Null,Null,Null,Null
207,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
208,lise,hayir,calismiyor,Null,emekli,calismiyor,3
209,lise,emekli,calismiyor,ortaokul,emekli,calismiyor,3
210,lise,hayir,calismiyor,universite,evet,diger,2
211,universite,evet,kamu,lise,evet,ozel sektor,1
212,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,Null
213,universite,evet,kamu,lise,evet,kamu,1
214,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
215,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,5
216,ilkokul,hayir,calismiyor,Null,Null,Null,Null
217,ilkokul,evet,diger,universite,evet,kamu,3
218,universite,emekli,calismiyor,universite,evet,ozel sektor,1
219,ilkokul,hayir,calismiyor,ilkokul,evet,diger,1
220,ilkokul,hayir,calismiyor,universite,evet,kamu,2
221,lise,hayir,calismiyor,lise,emekli,calismiyor,1
222,universite,evet,kamu,universite,evet,diger,1
223,universite,emekli,calismiyor,universite,evet,kamu,2
224,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,8
225,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
226,lise,evet,ozel sektor,ortaokul,evet,ozel sektor,3
227,universite,hayir,calismiyor,Null,Null,Null,Null
228,lise,hayir,calismiyor,lise,emekli,calismiyor,1
229,ilkokul,hayir,calismiyor,Null,Null,Null,Null
230,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,3
231,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2
232,egitimi yok,hayir,calismiyor,egitimi yok,evet,diger,6
233,egitimi yok,hayir,calismiyor,ortaokul,hayir,calismiyor,2
234,ilkokul,hayir,calismiyor,ilkokul,evet,diger,6
235,lise,hayir,calismiyor,universite,emekli,calismiyor,3
236,lise,emekli,calismiyor,lise,emekli,calismiyor,3
237,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,2
238,egitimi yok,hayir,calismiyor,egitimi yok,hayir,calismiyor,11
239,ilkokul,evet,ozel sektor,universite,emekli,calismiyor,1
240,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
241,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,2
242,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
243,lise,hayir,calismiyor,universite,evet,kamu,1
244,lise,hayir,calismiyor,lise,emekli,calismiyor,3
245,ortaokul,evet,ozel sektor,ortaokul,hayir,calismiyor,2
246,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,2
247,lise,hayir,calismiyor,universite,emekli,calismiyor,1
248,ilkokul,evet,diger,lise,emekli,calismiyor,0
249,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
250,ilkokul,emekli,calismiyor,universite,emekli,calismiyor,2
251,lise,hayir,calismiyor,universite,evet,kamu,2
252,Null,evet,kamu,Null,evet,kamu,1
253,ilkokul,emekli,calismiyor,lise,emekli,calismiyor,1
254,lise,emekli,calismiyor,lise,emekli,calismiyor,0
255,universite,hayir,calismiyor,universite,evet,diger,1
256,ortaokul,hayir,calismiyor,universite,evet,diger,4
257,ilkokul,emekli,calismiyor,ilkokul,emekli,calismiyor,3
258,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,2
259,egitimi yok,evet,diger,ilkokul,hayir,diger,1
260,lise,hayir,calismiyor,universite,emekli,calismiyor,2
261,universite,emekli,calismiyor,universite,emekli,calismiyor,2
262,lise,emekli,calismiyor,universite,emekli,calismiyor,1
263,universite,hayir,calismiyor,Null,evet,ozel sektor,1
264,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
265,ortaokul,emekli,calismiyor,lise,evet,kamu,0
266,lise,evet,diger,Null,Null,Null,Null
267,lise,hayir,calismiyor,lise,emekli,calismiyor,2
268,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,3
269,ilkokul,evet,diger,ilkokul,evet,diger,2
270,lise,hayir,calismiyor,ilkokul,emekli,calismiyor,1
271,universite,evet,diger,universite,evet,diger,1
272,ortaokul,hayir,calismiyor,lise,emekli,calismiyor,3
273,lise,emekli,calismiyor,lise,emekli,calismiyor,2
274,universite,evet,kamu,universite,evet,ozel sektor,1
275,universite,evet,kamu,Null,evet,kamu,2
276,lise,emekli,calismiyor,universite,emekli,calismiyor,1
277,ilkokul,hayir,calismiyor,lise,evet,kamu,3
278,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,1
279,universite,evet,ozel sektor,Null,Null,Null,Null
280,lise,hayir,calismiyor,Null,Null,Null,Null
281,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,2
282,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,2
283,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
284,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,2
285,universite,emekli,calismiyor,Null,Null,Null,Null
286,universite,evet,kamu,Null,Null,Null,Null
287,ilkokul,hayir,calismiyor,lise,evet,ozel sektor,1
288,egitimi yok,hayir,calismiyor,lise,emekli,calismiyor,4
289,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,4
290,lise,evet,ozel sektor,ilkokul,evet,diger,0
291,lise,hayir,calismiyor,universite,evet,kamu,1
292,universite,hayir,calismiyor,universite,evet,kamu,2
293,universite,evet,kamu,universite,evet,kamu,0
294,lise,hayir,calismiyor,universite,evet,kamu,1
295,lise,hayir,calismiyor,universite,hayir,calismiyor,2
296,universite,evet,kamu,universite,evet,kamu,1
297,universite,evet,ozel sektor,universite,evet,ozel sektor,1
298,ilkokul,hayir,calismiyor,Null,Null,Null,Null
299,ilkokul,hayir,calismiyor,universite,evet,ozel sektor,1
300,ilkokul,hayir,calismiyor,Null,Null,Null,Null
301,lise,hayir,calismiyor,universite,emekli,calismiyor,1
302,ilkokul,hayir,calismiyor,lise,hayir,calismiyor,2
303,egitimi yok,hayir,calismiyor,ilkokul,evet,ozel sektor,6
304,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,4
305,ilkokul,hayir,calismiyor,ilkokul,hayir,calismiyor,1
306,ilkokul,hayir,calismiyor,Null,Null,Null,Null
307,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
308,Null,evet,kamu,Null,evet,kamu,1
309,ilkokul,hayir,calismiyor,lise,evet,kamu,2
310,universite,evet,kamu,universite,evet,kamu,4
311,universite,evet,kamu,universite,evet,kamu,2
312,universite,emekli,calismiyor,lise,emekli,calismiyor,2
313,universite,evet,kamu,universite,evet,kamu,1
314,ortaokul,hayir,calismiyor,universite,emekli,calismiyor,4
315,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
316,lise,hayir,calismiyor,universite,evet,kamu,3
317,universite,evet,kamu,universite,evet,ozel sektor,1
318,universite,evet,ozel sektor,universite,hayir,calismiyor,2
319,ortaokul,hayir,calismiyor,universite,evet,ozel sektor,1
320,lise,evet,kamu,universite,evet,kamu,1
321,universite,evet,kamu,universite,evet,kamu,2
322,lise,emekli,calismiyor,universite,evet,kamu,1
323,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
324,universite,evet,kamu,lise,evet,diger,1
325,ilkokul,hayir,calismiyor,ilkokul,evet,diger,5
326,egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor,3
327,egitimi yok,hayir,calismiyor,ilkokul,evet,diger,6
328,lise,hayir,calismiyor,Null,Null,Null,Null
329,lise,hayir,calismiyor,lise,evet,kamu,1
330,universite,emekli,calismiyor,universite,emekli,calismiyor,2
331,ilkokul,hayir,calismiyor,lise,evet,diger,1
332,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
333,ortaokul,hayir,calismiyor,Null,Null,Null,Null
334,ilkokul,hayir,calismiyor,lise,evet,kamu,2
335,lise,emekli,calismiyor,lise,emekli,calismiyor,0
336,lise,hayir,calismiyor,lise,emekli,calismiyor,2
